scope,model,index,loss_domain,observed,predicted
train_oof,ridge,1,arxiv,7.0255866050720215,5.661424294078336
train_oof,ridge,2,arxiv,4.738541603088379,5.694477378415848
train_oof,ridge,3,arxiv,3.730258703231812,3.454054603662856
train_oof,ridge,4,arxiv,4.887355327606201,5.295751479667289
train_oof,ridge,5,arxiv,4.034541130065918,4.346348317745369
train_oof,ridge,6,arxiv,3.848159790039064,3.712217751870563
train_oof,ridge,7,arxiv,5.365633010864258,5.581150640908737
train_oof,ridge,8,arxiv,7.175310134887695,5.987045752087264
train_oof,ridge,9,arxiv,5.732336521148682,4.976033838729128
train_oof,ridge,10,arxiv,4.920166969299316,5.411558421554542
train_oof,ridge,11,arxiv,7.649549961090088,6.275962397909482
train_oof,ridge,12,arxiv,6.068508148193359,5.830990474263206
train_oof,ridge,13,arxiv,5.616719722747803,5.075691386990831
train_oof,ridge,14,arxiv,5.436479568481445,5.383658178574468
train_oof,ridge,15,arxiv,4.835928916931152,4.993421078513026
train_oof,ridge,16,arxiv,4.263101577758789,4.925044151187731
train_oof,ridge,17,arxiv,3.779206991195679,3.7458127437190165
train_oof,ridge,18,arxiv,5.161006927490234,5.19749980590442
train_oof,ridge,19,arxiv,4.140886306762695,5.184275756120621
train_oof,ridge,20,arxiv,5.3710455894470215,5.230457659961634
train_oof,ridge,21,arxiv,3.7148549556732178,3.1156716758152267
train_oof,ridge,22,arxiv,5.313518524169922,5.4399198456845435
train_oof,ridge,23,arxiv,5.221972465515137,4.961292367557481
train_oof,ridge,24,arxiv,7.729341983795166,6.041217991555549
train_oof,ridge,25,arxiv,5.003495216369629,5.03397892815121
train_oof,ridge,26,arxiv,3.882284879684448,3.9443577454729475
train_oof,ridge,27,arxiv,5.64911413192749,5.420375965367303
train_oof,ridge,28,arxiv,4.687304496765137,5.153063080962181
train_oof,ridge,29,arxiv,5.658636569976807,5.6867738260899285
train_oof,ridge,30,arxiv,6.861634254455566,5.486234944774771
train_oof,ridge,31,arxiv,4.4081878662109375,5.146971133953139
train_oof,ridge,32,arxiv,8.051161766052246,6.148123692235698
train_oof,ridge,33,arxiv,6.746493816375732,5.578746223590284
train_oof,ridge,34,arxiv,5.771609783172607,5.4876556779137395
train_oof,ridge,35,arxiv,5.152310848236084,4.900857325948245
train_oof,ridge,36,arxiv,3.753798723220825,3.3233421474260743
train_oof,ridge,37,arxiv,5.026422023773193,5.450609073129444
train_oof,ridge,38,arxiv,5.007805824279785,5.694584873541804
train_oof,ridge,39,arxiv,5.11309814453125,5.047452691031843
train_oof,ridge,40,arxiv,4.483772277832031,5.569581867306982
train_oof,ridge,41,arxiv,4.69763708114624,5.626066992012593
train_oof,ridge,42,arxiv,5.103385925292969,5.265035692707798
train_oof,ridge,43,arxiv,3.9178929328918457,4.287577876571106
train_oof,ridge,44,arxiv,4.936156749725342,5.121522576099426
train_oof,ridge,45,arxiv,3.638108968734741,2.5461422637213937
train_oof,ridge,46,arxiv,4.831500053405762,5.302099493831732
train_oof,ridge,47,arxiv,8.440932273864746,5.583890431690353
train_oof,ridge,48,arxiv,4.1681437492370605,4.629577037397736
train_oof,ridge,49,arxiv,3.730212926864624,3.439626977421339
train_oof,ridge,50,arxiv,3.7966833114624015,3.7763163040526617
train_oof,ridge,51,arxiv,5.532787799835205,5.484616267976365
train_oof,ridge,52,arxiv,4.392882823944092,5.7088875322067265
train_oof,ridge,53,arxiv,7.007149696350098,5.9057253708569055
train_oof,ridge,54,arxiv,4.346701622009277,5.504054726537645
train_oof,ridge,55,arxiv,4.241799354553223,5.4120639873804555
train_oof,ridge,56,arxiv,4.411746025085449,5.267587558023114
train_oof,ridge,57,arxiv,6.986747741699219,5.736920539175966
train_oof,ridge,58,arxiv,4.8471198081970215,5.871721848304295
train_oof,ridge,59,arxiv,3.965298414230346,4.346243445512378
train_oof,ridge,60,arxiv,3.908792018890381,3.8988301652641875
train_oof,ridge,61,arxiv,4.552950382232666,5.062283841479012
train_oof,ridge,62,arxiv,4.182930946350098,4.642913322927382
train_oof,ridge,63,arxiv,4.488585948944092,5.027726890077067
train_oof,ridge,64,arxiv,3.7678377628326416,3.4384038482233725
train_oof,ridge,65,arxiv,4.367419719696045,5.551553368137708
train_oof,ridge,66,arxiv,5.594398498535156,5.38341967049315
train_oof,ridge,67,arxiv,5.390546798706055,5.701510923819256
train_oof,ridge,68,arxiv,5.465458393096924,5.6621831582309685
train_oof,ridge,69,arxiv,5.909402370452881,5.610489956072678
train_oof,ridge,70,arxiv,5.791354656219482,4.947581562195338
train_oof,ridge,71,arxiv,5.805180549621582,5.587502049873094
train_oof,ridge,72,arxiv,4.5284104347229,5.084988834070984
train_oof,ridge,73,arxiv,5.847026348114014,5.784990238973728
train_oof,ridge,74,arxiv,3.7244694232940674,3.32306193695847
train_oof,ridge,75,arxiv,5.42728853225708,5.3074913004388735
train_oof,ridge,76,arxiv,3.808625459671021,4.047040504557789
train_oof,ridge,77,arxiv,5.121078968048096,5.475574713690303
train_oof,ridge,78,arxiv,3.858219623565674,4.2356823227339415
train_oof,ridge,79,arxiv,3.727626800537109,3.0611258755514497
train_oof,ridge,80,arxiv,5.894128799438477,5.503533866105326
train_oof,ridge,81,arxiv,5.168089389801025,5.5316963614845225
train_oof,ridge,82,arxiv,5.904451847076416,5.685019965769769
train_oof,ridge,83,arxiv,5.075393199920654,4.422049210903386
train_oof,ridge,84,arxiv,4.098197937011719,4.53700995743343
train_oof,ridge,85,arxiv,6.351230144500732,5.472560296746634
train_oof,ridge,86,arxiv,6.849578857421875,5.588831042465429
train_oof,ridge,87,arxiv,4.096127033233643,4.524146529015944
train_oof,ridge,88,arxiv,3.728371381759644,3.40291654470629
train_oof,ridge,89,arxiv,4.470522403717041,5.4689393808299585
train_oof,ridge,90,arxiv,3.786684989929199,3.7904482479546724
train_oof,ridge,91,arxiv,4.081962585449219,4.637267417054612
train_oof,ridge,92,arxiv,4.762213706970215,5.306513682594163
train_oof,ridge,93,arxiv,5.143677711486816,5.904719422540285
train_oof,ridge,94,arxiv,5.694072246551514,5.406217184750248
train_oof,ridge,95,arxiv,5.569729328155518,5.578662014772141
train_oof,ridge,96,arxiv,3.788387298583984,3.606081110520138
train_oof,ridge,97,arxiv,4.4722580909729,4.929500093560692
train_oof,ridge,98,arxiv,4.703857898712158,5.326759847059645
train_oof,ridge,99,arxiv,4.316067218780518,5.042692294908455
train_oof,ridge,100,arxiv,4.033085823059082,4.628388989707509
train_oof,ridge,101,arxiv,5.055220127105713,5.612095882656708
train_oof,ridge,102,arxiv,4.907496929168701,5.425201894564365
train_oof,ridge,103,arxiv,4.916298866271973,4.848817620139782
train_oof,ridge,104,arxiv,5.158628463745117,4.9757060723982764
train_oof,ridge,105,arxiv,4.802148818969727,5.323866671109171
train_oof,ridge,106,arxiv,4.613417148590088,5.560164264267708
train_oof,ridge,107,arxiv,4.668123245239258,4.570713130012627
train_oof,ridge,108,arxiv,5.729280948638916,5.762182603694755
train_oof,ridge,109,arxiv,5.290669918060303,6.080480711723842
train_oof,ridge,110,arxiv,5.620189189910889,5.471070818023416
train_oof,ridge,111,arxiv,5.645575046539307,5.696000591521046
train_oof,ridge,112,arxiv,4.195310115814209,5.31338509844227
train_oof,ridge,113,arxiv,4.742549896240234,4.267247624987987
train_oof,ridge,114,arxiv,5.359449863433838,5.541825424580464
train_oof,ridge,115,arxiv,4.233831405639648,4.9716955838883505
train_oof,ridge,116,arxiv,6.042614459991455,5.738966525347251
train_oof,ridge,117,arxiv,5.479312419891357,5.760209670496567
train_oof,ridge,118,arxiv,5.058100700378418,5.024163691497998
train_oof,ridge,119,arxiv,3.962941884994507,4.689336542006259
train_oof,ridge,120,arxiv,6.376014709472656,5.849995543694128
train_oof,ridge,121,arxiv,4.239254474639893,5.273550197098212
train_oof,ridge,122,arxiv,6.236365795135498,5.690835490802272
train_oof,ridge,123,arxiv,4.538226127624512,4.850965353861784
train_oof,ridge,124,arxiv,3.728559255599976,3.3988083646918423
train_oof,ridge,125,arxiv,5.052676677703857,4.594947824764859
train_oof,ridge,126,arxiv,6.597900390625,5.7619822578218525
train_oof,ridge,127,arxiv,4.560189723968506,5.50529307349504
